,Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
1514,EMP1515,53,Female,Data Scientist,IT,31,Onsite,42,13,3,Medium,Depression/Anxiety/Burnout,Yes,Increase,3,Satisfied,2,No Physical Activity,Good,Africa
1515,EMP1516,41,Prefer not to say,Data Scientist,IT,4,Remote,22,4,1,Low,Depression/Anxiety/Burnout,No,No Change,5,Unsatisfied,2,Daily,Good,South America
1516,EMP1517,59,Male,Data Scientist,IT,8,Onsite,42,11,1,Low,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,1,Weekly,Good,Africa
1517,EMP1518,45,Female,Data Scientist,Healthcare,20,Remote,31,14,3,Low,Depression/Anxiety/Burnout,No,No Change,4,Neutral,2,Weekly,Average,Europe
1518,EMP1519,26,Non-binary,HR,Finance,2,Remote,40,9,3,High,Depression/Anxiety/Burnout,No,No Change,3,Unsatisfied,5,Daily,Poor,Africa
1519,EMP1520,52,Prefer not to say,Software Engineer,Manufacturing,17,Remote,20,5,4,High,Depression/Anxiety/Burnout,Yes,Increase,2,Satisfied,1,No Physical Activity,Good,Asia
1520,EMP1521,48,Prefer not to say,Software Engineer,Consulting,25,Onsite,28,1,3,High,Depression/Anxiety/Burnout,No,Decrease,5,Neutral,4,Weekly,Poor,Africa
1521,EMP1522,22,Prefer not to say,Data Scientist,IT,23,Onsite,35,13,1,Medium,No mental health conditions,Yes,No Change,2,Neutral,1,Daily,Good,South America
1522,EMP1523,41,Non-binary,Marketing,Manufacturing,4,Remote,60,11,1,High,Depression/Anxiety/Burnout,No,Decrease,4,Neutral,3,Daily,Poor,Europe
1523,EMP1524,50,Non-binary,Project Manager,Retail,9,Onsite,58,7,3,High,Depression/Anxiety/Burnout,No,Decrease,4,Unsatisfied,4,No Physical Activity,Average,South America
1524,EMP1525,29,Female,Data Scientist,Finance,16,Remote,28,0,3,High,Depression/Anxiety/Burnout,No,Increase,5,Neutral,3,Daily,Average,North America
1525,EMP1526,27,Male,Software Engineer,IT,29,Remote,44,14,2,Low,Depression/Anxiety/Burnout,No,Decrease,4,Unsatisfied,1,Weekly,Poor,Europe
1526,EMP1527,43,Prefer not to say,Project Manager,Consulting,14,Onsite,50,4,5,Medium,Depression/Anxiety/Burnout,Yes,No Change,4,Neutral,4,No Physical Activity,Average,Oceania
1527,EMP1528,51,Non-binary,Designer,Finance,25,Remote,60,1,4,Medium,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,3,Weekly,Poor,Europe
1528,EMP1529,47,Female,Project Manager,Finance,6,Hybrid,53,5,5,High,No mental health conditions,No,Increase,5,Unsatisfied,3,Weekly,Good,Europe
1529,EMP1530,44,Male,Software Engineer,IT,17,Remote,36,7,4,Low,Depression/Anxiety/Burnout,Yes,Increase,5,Satisfied,2,Weekly,Average,Asia
1530,EMP1531,44,Prefer not to say,HR,Retail,21,Hybrid,24,0,3,High,Depression/Anxiety/Burnout,Yes,Increase,4,Neutral,3,No Physical Activity,Average,Africa
1531,EMP1532,43,Female,HR,Retail,5,Remote,25,0,3,High,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,3,Daily,Average,South America
1532,EMP1533,22,Female,Designer,Consulting,20,Remote,47,8,5,Medium,Depression/Anxiety/Burnout,No,No Change,3,Neutral,2,Weekly,Average,Africa
1533,EMP1534,40,Prefer not to say,Marketing,Consulting,11,Remote,50,10,4,Low,Depression/Anxiety/Burnout,Yes,No Change,4,Neutral,1,Weekly,Good,Africa
1534,EMP1535,34,Non-binary,Project Manager,IT,10,Hybrid,40,11,5,High,Depression/Anxiety/Burnout,Yes,Decrease,4,Neutral,5,Daily,Poor,Europe
1535,EMP1536,59,Female,Software Engineer,Finance,22,Onsite,39,11,1,Low,Depression/Anxiety/Burnout,No,No Change,2,Neutral,4,No Physical Activity,Good,Oceania
1536,EMP1537,26,Female,Project Manager,Consulting,2,Onsite,54,12,4,High,Depression/Anxiety/Burnout,Yes,No Change,5,Neutral,3,No Physical Activity,Poor,Oceania
1537,EMP1538,40,Male,Software Engineer,Manufacturing,24,Hybrid,44,9,3,High,Depression/Anxiety/Burnout,Yes,No Change,3,Neutral,4,Weekly,Good,North America
1538,EMP1539,47,Female,Data Scientist,Retail,2,Remote,33,3,2,High,Depression/Anxiety/Burnout,Yes,Increase,4,Neutral,5,No Physical Activity,Good,Europe
1539,EMP1540,54,Female,Sales,Healthcare,23,Hybrid,25,8,5,High,Depression/Anxiety/Burnout,Yes,Increase,5,Neutral,3,Daily,Poor,Africa
1540,EMP1541,26,Male,Software Engineer,IT,3,Onsite,33,8,2,High,No mental health conditions,No,Increase,2,Unsatisfied,4,Daily,Poor,Africa
1541,EMP1542,52,Non-binary,HR,Education,25,Remote,31,7,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,4,Unsatisfied,4,No Physical Activity,Poor,Europe
1542,EMP1543,38,Male,Designer,Education,12,Remote,36,1,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,1,Weekly,Average,Asia
1543,EMP1544,34,Non-binary,Sales,Consulting,22,Remote,35,9,2,Medium,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,5,Daily,Good,North America
1544,EMP1545,39,Prefer not to say,Project Manager,Finance,22,Remote,24,12,2,Low,Depression/Anxiety/Burnout,Yes,No Change,4,Satisfied,2,Daily,Poor,Oceania
1545,EMP1546,60,Non-binary,Project Manager,Manufacturing,33,Hybrid,50,7,3,High,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,5,Weekly,Poor,North America
1546,EMP1547,24,Female,Sales,Retail,6,Hybrid,30,11,3,High,Depression/Anxiety/Burnout,No,Decrease,3,Satisfied,5,Daily,Average,Oceania
1547,EMP1548,49,Prefer not to say,Marketing,Consulting,30,Onsite,38,3,3,High,No mental health conditions,No,Decrease,3,Satisfied,4,No Physical Activity,Poor,Europe
1548,EMP1549,45,Non-binary,Designer,Consulting,1,Onsite,40,5,1,Low,Depression/Anxiety/Burnout,No,Increase,3,Unsatisfied,5,Weekly,Poor,South America
1549,EMP1550,28,Male,Project Manager,Retail,19,Remote,40,9,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,4,Unsatisfied,1,Weekly,Average,Oceania
1550,EMP1551,34,Female,Data Scientist,IT,1,Remote,29,2,5,High,Depression/Anxiety/Burnout,No,No Change,1,Neutral,2,No Physical Activity,Poor,Africa
1551,EMP1552,27,Non-binary,Sales,Manufacturing,30,Onsite,42,11,1,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Satisfied,4,Weekly,Average,South America
1552,EMP1553,35,Female,Sales,Consulting,35,Hybrid,50,3,4,Low,Depression/Anxiety/Burnout,Yes,No Change,2,Neutral,2,No Physical Activity,Good,Europe
1553,EMP1554,47,Prefer not to say,Software Engineer,Retail,4,Remote,23,13,4,Low,No mental health conditions,No,No Change,2,Unsatisfied,3,Daily,Average,Europe
1554,EMP1555,51,Prefer not to say,Data Scientist,Retail,6,Remote,31,10,3,High,Depression/Anxiety/Burnout,No,Increase,3,Neutral,1,Daily,Poor,Asia
1555,EMP1556,25,Prefer not to say,Sales,IT,12,Onsite,44,9,4,Low,Depression/Anxiety/Burnout,Yes,No Change,4,Neutral,5,Daily,Poor,Europe
1556,EMP1557,36,Female,Data Scientist,Retail,2,Hybrid,27,6,4,Low,Depression/Anxiety/Burnout,No,Increase,1,Satisfied,2,Daily,Average,Europe
1557,EMP1558,47,Female,Software Engineer,Education,26,Remote,59,15,3,Medium,No mental health conditions,Yes,Increase,4,Satisfied,3,Daily,Poor,Oceania
1558,EMP1559,60,Male,Software Engineer,IT,33,Onsite,36,4,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,4,Unsatisfied,1,Daily,Good,Asia
1559,EMP1560,25,Female,Data Scientist,Finance,13,Hybrid,26,8,4,Medium,Depression/Anxiety/Burnout,No,No Change,5,Unsatisfied,4,Daily,Poor,Oceania
1560,EMP1561,26,Female,Designer,Retail,17,Onsite,32,9,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,1,Satisfied,1,Weekly,Average,Europe
1561,EMP1562,55,Male,Marketing,Consulting,6,Hybrid,23,11,4,Low,No mental health conditions,Yes,Decrease,3,Satisfied,3,No Physical Activity,Poor,Africa
1562,EMP1563,31,Non-binary,Marketing,Manufacturing,2,Hybrid,30,9,3,Low,No mental health conditions,Yes,No Change,1,Satisfied,5,No Physical Activity,Average,South America
1563,EMP1564,36,Male,Data Scientist,Manufacturing,1,Onsite,24,0,5,Medium,Depression/Anxiety/Burnout,No,Decrease,3,Unsatisfied,4,Daily,Good,Africa
1564,EMP1565,23,Non-binary,HR,Education,33,Remote,37,6,5,Low,Depression/Anxiety/Burnout,No,Decrease,5,Satisfied,4,No Physical Activity,Poor,Oceania
1565,EMP1566,56,Male,Data Scientist,Education,8,Onsite,41,15,1,High,No mental health conditions,No,Decrease,1,Unsatisfied,2,No Physical Activity,Poor,Europe
1566,EMP1567,36,Non-binary,Marketing,Finance,33,Remote,42,9,2,Medium,No mental health conditions,Yes,No Change,3,Unsatisfied,5,Daily,Good,North America
1567,EMP1568,33,Female,Project Manager,Manufacturing,16,Remote,34,9,3,Medium,Depression/Anxiety/Burnout,No,Decrease,4,Neutral,5,Daily,Average,Europe
1568,EMP1569,50,Prefer not to say,Sales,Manufacturing,32,Hybrid,54,8,2,Low,Depression/Anxiety/Burnout,No,Increase,3,Neutral,5,Daily,Good,Oceania
1569,EMP1570,29,Prefer not to say,Sales,Education,8,Hybrid,29,8,2,Medium,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,3,Daily,Good,Asia
1570,EMP1571,55,Non-binary,HR,Finance,8,Hybrid,58,14,1,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Unsatisfied,2,Daily,Poor,South America
1571,EMP1572,34,Non-binary,Designer,Consulting,33,Onsite,57,6,5,High,Depression/Anxiety/Burnout,Yes,Decrease,1,Neutral,1,Daily,Average,Oceania
1572,EMP1573,48,Non-binary,Sales,Finance,23,Remote,39,3,3,Low,Depression/Anxiety/Burnout,No,No Change,3,Unsatisfied,4,Weekly,Good,Asia
1573,EMP1574,51,Female,Data Scientist,Retail,24,Hybrid,50,5,1,Low,Depression/Anxiety/Burnout,No,Increase,1,Neutral,3,Weekly,Poor,Oceania
1574,EMP1575,31,Non-binary,Designer,Finance,27,Onsite,42,4,4,Medium,Depression/Anxiety/Burnout,Yes,Decrease,1,Neutral,5,Daily,Good,Oceania
1575,EMP1576,22,Prefer not to say,Marketing,Manufacturing,8,Hybrid,35,2,1,Low,Depression/Anxiety/Burnout,Yes,No Change,2,Unsatisfied,4,Daily,Average,Europe
1576,EMP1577,23,Male,Designer,Finance,7,Remote,54,10,5,Low,No mental health conditions,Yes,No Change,3,Satisfied,5,Daily,Good,Africa
1577,EMP1578,55,Prefer not to say,Data Scientist,Consulting,22,Hybrid,36,8,2,High,Depression/Anxiety/Burnout,No,Decrease,3,Neutral,3,No Physical Activity,Poor,Europe
1578,EMP1579,52,Prefer not to say,Project Manager,IT,16,Remote,26,12,4,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Satisfied,5,No Physical Activity,Good,Asia
1579,EMP1580,47,Prefer not to say,Data Scientist,Education,14,Onsite,55,14,4,Medium,Depression/Anxiety/Burnout,Yes,Decrease,2,Neutral,4,Daily,Good,South America
1580,EMP1581,46,Male,HR,Finance,14,Onsite,23,8,1,High,Depression/Anxiety/Burnout,No,No Change,5,Satisfied,3,Daily,Average,Asia
1581,EMP1582,28,Non-binary,Sales,Consulting,23,Remote,43,10,2,High,Depression/Anxiety/Burnout,No,Decrease,2,Neutral,1,Daily,Average,Europe
1582,EMP1583,57,Prefer not to say,Software Engineer,Retail,17,Hybrid,44,13,3,Medium,Depression/Anxiety/Burnout,Yes,Decrease,4,Satisfied,5,Daily,Poor,Asia
1583,EMP1584,26,Female,Software Engineer,Healthcare,18,Remote,36,9,5,Low,Depression/Anxiety/Burnout,No,Increase,2,Satisfied,2,No Physical Activity,Average,Europe
1584,EMP1585,39,Non-binary,Marketing,IT,19,Remote,59,15,1,Medium,Depression/Anxiety/Burnout,No,Decrease,3,Unsatisfied,4,No Physical Activity,Average,Asia
1585,EMP1586,54,Non-binary,Designer,Manufacturing,27,Remote,24,2,2,Medium,No mental health conditions,Yes,Decrease,5,Unsatisfied,5,Weekly,Poor,Africa
1586,EMP1587,25,Prefer not to say,HR,Education,8,Remote,40,6,2,High,No mental health conditions,Yes,No Change,2,Unsatisfied,5,No Physical Activity,Poor,South America
1587,EMP1588,40,Prefer not to say,HR,Manufacturing,23,Hybrid,30,0,1,High,Depression/Anxiety/Burnout,Yes,No Change,3,Unsatisfied,3,No Physical Activity,Poor,Oceania
1588,EMP1589,56,Non-binary,Sales,Retail,34,Remote,51,9,1,High,Depression/Anxiety/Burnout,Yes,No Change,4,Neutral,5,Weekly,Average,Asia
1589,EMP1590,32,Female,HR,Consulting,15,Hybrid,37,10,5,High,Depression/Anxiety/Burnout,No,No Change,2,Satisfied,4,Weekly,Poor,Africa
1590,EMP1591,34,Non-binary,Project Manager,Education,30,Remote,54,11,4,Low,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,5,Weekly,Average,Asia
1591,EMP1592,57,Male,Designer,Education,14,Onsite,27,4,1,High,No mental health conditions,No,Decrease,5,Neutral,4,No Physical Activity,Average,Oceania
1592,EMP1593,54,Prefer not to say,Software Engineer,Consulting,26,Onsite,35,13,1,Medium,Depression/Anxiety/Burnout,Yes,No Change,5,Satisfied,3,No Physical Activity,Good,Europe
1593,EMP1594,29,Non-binary,HR,IT,6,Hybrid,58,15,1,Medium,Depression/Anxiety/Burnout,No,No Change,4,Neutral,5,Weekly,Average,North America
1594,EMP1595,45,Prefer not to say,Data Scientist,Education,24,Onsite,22,0,1,High,Depression/Anxiety/Burnout,No,Increase,4,Neutral,3,Weekly,Poor,North America
1595,EMP1596,40,Male,Project Manager,IT,16,Hybrid,59,9,5,Medium,Depression/Anxiety/Burnout,No,No Change,2,Unsatisfied,3,Daily,Good,Oceania
1596,EMP1597,42,Non-binary,Marketing,Manufacturing,23,Hybrid,22,8,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,3,Weekly,Poor,Africa
1597,EMP1598,40,Prefer not to say,Marketing,Finance,14,Onsite,43,12,2,High,No mental health conditions,Yes,Increase,1,Neutral,2,No Physical Activity,Average,Africa
1598,EMP1599,46,Female,Sales,Healthcare,4,Onsite,57,0,5,High,Depression/Anxiety/Burnout,Yes,No Change,3,Neutral,5,No Physical Activity,Average,Africa
1599,EMP1600,26,Prefer not to say,Project Manager,IT,29,Hybrid,56,1,4,Low,Depression/Anxiety/Burnout,No,Decrease,4,Satisfied,5,No Physical Activity,Good,North America
1600,EMP1601,33,Female,Sales,Finance,29,Remote,45,4,5,Medium,No mental health conditions,No,No Change,2,Neutral,3,No Physical Activity,Poor,Oceania
1601,EMP1602,38,Male,Marketing,IT,34,Remote,40,6,3,High,No mental health conditions,No,Increase,3,Satisfied,3,No Physical Activity,Poor,North America
1602,EMP1603,57,Prefer not to say,HR,Education,27,Remote,56,11,1,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,4,No Physical Activity,Average,South America
1603,EMP1604,37,Male,Software Engineer,Healthcare,20,Onsite,45,7,1,Medium,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,3,No Physical Activity,Poor,Asia
1604,EMP1605,37,Female,Sales,Education,10,Hybrid,35,12,5,Low,No mental health conditions,No,No Change,5,Satisfied,1,No Physical Activity,Average,Oceania
1605,EMP1606,24,Prefer not to say,Marketing,Finance,18,Onsite,47,9,3,High,No mental health conditions,No,No Change,4,Neutral,4,No Physical Activity,Average,Asia
1606,EMP1607,39,Prefer not to say,HR,Finance,32,Onsite,59,7,1,High,Depression/Anxiety/Burnout,Yes,Increase,3,Satisfied,4,Weekly,Poor,Asia
1607,EMP1608,23,Female,Project Manager,Education,13,Hybrid,27,0,2,Low,Depression/Anxiety/Burnout,Yes,Decrease,4,Neutral,3,No Physical Activity,Average,South America
1608,EMP1609,55,Prefer not to say,Designer,Manufacturing,19,Remote,22,2,5,High,Depression/Anxiety/Burnout,No,Increase,5,Neutral,5,No Physical Activity,Poor,Europe
1609,EMP1610,53,Non-binary,Data Scientist,Manufacturing,20,Remote,23,13,3,Medium,Depression/Anxiety/Burnout,No,Increase,2,Neutral,4,No Physical Activity,Poor,Africa
1610,EMP1611,37,Male,Project Manager,Manufacturing,24,Remote,60,5,4,Medium,Depression/Anxiety/Burnout,No,Decrease,5,Neutral,3,No Physical Activity,Poor,North America
1611,EMP1612,29,Non-binary,HR,IT,5,Remote,40,14,5,High,No mental health conditions,No,No Change,1,Unsatisfied,2,Daily,Average,North America
1612,EMP1613,51,Prefer not to say,Software Engineer,Education,26,Hybrid,60,1,2,Medium,Depression/Anxiety/Burnout,No,Increase,1,Satisfied,4,Daily,Good,Asia
1613,EMP1614,38,Prefer not to say,HR,Retail,28,Hybrid,41,5,3,Low,Depression/Anxiety/Burnout,No,Increase,1,Satisfied,1,Weekly,Good,South America
1614,EMP1615,22,Male,Designer,Healthcare,25,Onsite,41,7,4,High,No mental health conditions,Yes,Increase,5,Satisfied,4,No Physical Activity,Average,Europe
1615,EMP1616,51,Prefer not to say,Project Manager,IT,29,Onsite,26,13,5,Low,Depression/Anxiety/Burnout,Yes,Decrease,4,Unsatisfied,5,Daily,Good,South America
1616,EMP1617,32,Male,HR,Finance,30,Hybrid,50,2,1,High,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,5,Weekly,Good,Oceania
1617,EMP1618,24,Male,Designer,Finance,19,Hybrid,26,2,4,High,Depression/Anxiety/Burnout,Yes,No Change,4,Unsatisfied,3,No Physical Activity,Good,Africa
1618,EMP1619,39,Prefer not to say,HR,Finance,10,Hybrid,29,12,5,Low,Depression/Anxiety/Burnout,No,No Change,2,Satisfied,5,Daily,Average,Africa
1619,EMP1620,34,Non-binary,Designer,Healthcare,7,Onsite,28,4,1,Medium,Depression/Anxiety/Burnout,Yes,No Change,3,Satisfied,4,Daily,Good,Europe
1620,EMP1621,47,Male,Sales,Manufacturing,11,Remote,22,8,3,High,No mental health conditions,Yes,Decrease,3,Neutral,5,Weekly,Good,South America
1621,EMP1622,44,Female,Data Scientist,Finance,23,Remote,52,12,5,Low,No mental health conditions,Yes,Decrease,5,Unsatisfied,4,Weekly,Poor,North America
1622,EMP1623,35,Non-binary,HR,Finance,6,Remote,51,0,2,High,Depression/Anxiety/Burnout,No,No Change,5,Neutral,3,Weekly,Good,Asia
1623,EMP1624,41,Female,Project Manager,Healthcare,29,Hybrid,24,2,2,High,Depression/Anxiety/Burnout,Yes,Decrease,2,Neutral,4,No Physical Activity,Poor,Asia
1624,EMP1625,34,Non-binary,Project Manager,Retail,21,Onsite,41,6,2,Low,Depression/Anxiety/Burnout,No,No Change,1,Unsatisfied,4,Weekly,Good,Africa
1625,EMP1626,57,Male,Software Engineer,Education,26,Onsite,37,11,4,Medium,Depression/Anxiety/Burnout,Yes,No Change,5,Unsatisfied,3,No Physical Activity,Good,North America
1626,EMP1627,31,Prefer not to say,Designer,Consulting,7,Onsite,53,1,4,Medium,Depression/Anxiety/Burnout,No,Decrease,3,Unsatisfied,5,No Physical Activity,Poor,Africa
1627,EMP1628,41,Prefer not to say,Designer,Healthcare,18,Onsite,29,6,4,Medium,Depression/Anxiety/Burnout,Yes,No Change,3,Neutral,2,No Physical Activity,Average,South America
1628,EMP1629,37,Male,HR,Retail,13,Hybrid,49,9,2,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Satisfied,5,Weekly,Good,North America
1629,EMP1630,38,Prefer not to say,Data Scientist,Consulting,26,Remote,54,15,5,Low,Depression/Anxiety/Burnout,Yes,No Change,5,Unsatisfied,3,No Physical Activity,Good,Asia
1630,EMP1631,53,Prefer not to say,Project Manager,Manufacturing,2,Remote,21,1,4,Low,Depression/Anxiety/Burnout,No,Increase,1,Neutral,5,No Physical Activity,Good,Africa
1631,EMP1632,50,Male,Sales,Finance,18,Onsite,20,2,3,High,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,2,No Physical Activity,Poor,Europe
1632,EMP1633,30,Male,Data Scientist,Manufacturing,7,Onsite,25,2,4,Medium,Depression/Anxiety/Burnout,No,Increase,2,Neutral,2,No Physical Activity,Good,North America
1633,EMP1634,50,Non-binary,Marketing,Retail,1,Hybrid,24,2,5,Low,Depression/Anxiety/Burnout,Yes,No Change,3,Unsatisfied,3,No Physical Activity,Good,North America
1634,EMP1635,55,Male,Software Engineer,Consulting,3,Remote,51,2,4,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,4,No Physical Activity,Good,Oceania
1635,EMP1636,35,Male,Marketing,Manufacturing,8,Hybrid,59,11,3,Low,Depression/Anxiety/Burnout,Yes,Increase,4,Unsatisfied,3,Weekly,Poor,South America
1636,EMP1637,53,Prefer not to say,HR,Manufacturing,5,Onsite,21,5,3,Medium,No mental health conditions,No,Decrease,2,Unsatisfied,4,Weekly,Good,South America
1637,EMP1638,49,Prefer not to say,Designer,IT,9,Hybrid,34,3,3,Low,Depression/Anxiety/Burnout,Yes,No Change,1,Unsatisfied,3,Weekly,Good,North America
1638,EMP1639,34,Male,Project Manager,Retail,30,Onsite,46,9,4,Medium,Depression/Anxiety/Burnout,No,No Change,4,Satisfied,3,Daily,Poor,Africa
1639,EMP1640,44,Non-binary,Software Engineer,Consulting,20,Remote,32,4,3,Medium,Depression/Anxiety/Burnout,No,Decrease,4,Unsatisfied,3,Daily,Average,Europe
1640,EMP1641,58,Prefer not to say,HR,Finance,31,Hybrid,25,12,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,1,Satisfied,2,No Physical Activity,Average,North America
1641,EMP1642,28,Prefer not to say,Data Scientist,Retail,7,Remote,51,10,1,High,Depression/Anxiety/Burnout,Yes,Decrease,1,Neutral,1,Daily,Good,Asia
1642,EMP1643,46,Female,HR,Consulting,28,Onsite,31,6,1,High,No mental health conditions,Yes,No Change,4,Neutral,4,Weekly,Poor,South America
1643,EMP1644,50,Female,Sales,Manufacturing,3,Hybrid,41,11,5,High,Depression/Anxiety/Burnout,Yes,No Change,3,Satisfied,5,Daily,Poor,Africa
1644,EMP1645,39,Male,Designer,Manufacturing,33,Onsite,54,8,3,Low,No mental health conditions,Yes,Decrease,2,Satisfied,5,Daily,Average,North America
1645,EMP1646,37,Non-binary,Project Manager,Retail,29,Remote,53,5,1,High,Depression/Anxiety/Burnout,Yes,Increase,3,Neutral,1,Daily,Poor,Europe
1646,EMP1647,60,Male,Software Engineer,IT,15,Hybrid,60,15,1,Low,Depression/Anxiety/Burnout,No,No Change,1,Neutral,4,Weekly,Good,Africa
1647,EMP1648,58,Male,Software Engineer,Finance,8,Remote,47,13,5,Low,Depression/Anxiety/Burnout,No,No Change,3,Neutral,3,Weekly,Poor,Oceania
1648,EMP1649,47,Non-binary,Designer,Consulting,8,Hybrid,55,9,3,Medium,No mental health conditions,Yes,Increase,2,Unsatisfied,2,Daily,Average,South America
1649,EMP1650,49,Female,Data Scientist,Retail,16,Remote,37,3,2,Low,Depression/Anxiety/Burnout,Yes,No Change,1,Neutral,3,No Physical Activity,Good,Asia
1650,EMP1651,58,Male,Marketing,IT,4,Hybrid,42,14,1,High,Depression/Anxiety/Burnout,Yes,Increase,3,Unsatisfied,4,No Physical Activity,Average,South America
1651,EMP1652,47,Female,HR,IT,16,Onsite,40,3,1,Low,Depression/Anxiety/Burnout,Yes,Increase,2,Neutral,3,Weekly,Average,Oceania
1652,EMP1653,30,Non-binary,Marketing,Education,22,Onsite,21,6,4,Low,Depression/Anxiety/Burnout,No,No Change,4,Neutral,1,Daily,Good,Africa
1653,EMP1654,25,Female,Software Engineer,Consulting,26,Onsite,38,8,5,Low,Depression/Anxiety/Burnout,Yes,Increase,3,Neutral,3,Daily,Good,Asia
1654,EMP1655,35,Prefer not to say,HR,Manufacturing,35,Remote,20,0,3,High,Depression/Anxiety/Burnout,No,Decrease,4,Neutral,2,Daily,Good,Africa
1655,EMP1656,53,Non-binary,Data Scientist,Retail,6,Onsite,44,6,3,High,Depression/Anxiety/Burnout,No,Decrease,5,Satisfied,4,Weekly,Average,South America
1656,EMP1657,32,Female,Software Engineer,Consulting,23,Hybrid,24,9,4,Medium,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,5,Daily,Average,South America
1657,EMP1658,37,Male,Designer,Consulting,10,Remote,48,14,1,Medium,Depression/Anxiety/Burnout,Yes,Increase,1,Neutral,2,Weekly,Good,Africa
1658,EMP1659,40,Prefer not to say,HR,IT,1,Hybrid,60,6,3,Low,Depression/Anxiety/Burnout,No,Decrease,5,Unsatisfied,5,Weekly,Poor,North America
1659,EMP1660,40,Male,Software Engineer,IT,29,Hybrid,26,3,3,Low,Depression/Anxiety/Burnout,No,Increase,2,Unsatisfied,3,No Physical Activity,Good,Europe
1660,EMP1661,58,Female,Project Manager,IT,22,Hybrid,24,13,3,High,Depression/Anxiety/Burnout,No,Decrease,5,Neutral,3,Daily,Average,South America
1661,EMP1662,47,Male,Designer,Healthcare,10,Hybrid,41,14,3,Low,Depression/Anxiety/Burnout,No,Decrease,1,Satisfied,3,Weekly,Average,Oceania
1662,EMP1663,57,Male,HR,IT,1,Onsite,27,6,2,Medium,Depression/Anxiety/Burnout,No,No Change,3,Satisfied,5,Daily,Good,Oceania
1663,EMP1664,38,Non-binary,Designer,Education,1,Onsite,38,4,4,Low,Depression/Anxiety/Burnout,Yes,Decrease,1,Unsatisfied,1,Daily,Good,Africa
1664,EMP1665,39,Female,Project Manager,IT,31,Hybrid,41,14,4,Low,Depression/Anxiety/Burnout,Yes,Increase,2,Satisfied,3,Daily,Average,Europe
1665,EMP1666,37,Female,Designer,Finance,24,Remote,20,9,4,High,Depression/Anxiety/Burnout,Yes,No Change,5,Neutral,2,Daily,Good,South America
1666,EMP1667,41,Female,Software Engineer,Retail,24,Onsite,22,4,3,Medium,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,2,Weekly,Poor,South America
1667,EMP1668,34,Female,Designer,IT,3,Hybrid,22,1,1,Medium,No mental health conditions,Yes,No Change,5,Neutral,1,Weekly,Good,North America
1668,EMP1669,28,Prefer not to say,Data Scientist,Education,23,Remote,24,11,5,Medium,Depression/Anxiety/Burnout,Yes,No Change,2,Neutral,4,No Physical Activity,Good,South America
1669,EMP1670,30,Prefer not to say,Data Scientist,IT,4,Hybrid,50,2,3,Low,Depression/Anxiety/Burnout,Yes,No Change,2,Neutral,2,Weekly,Poor,South America
1670,EMP1671,37,Prefer not to say,HR,Healthcare,27,Hybrid,25,2,3,Low,Depression/Anxiety/Burnout,No,No Change,3,Satisfied,5,Daily,Good,South America
1671,EMP1672,46,Non-binary,Sales,Education,35,Onsite,35,7,5,High,Depression/Anxiety/Burnout,No,No Change,1,Satisfied,2,Daily,Average,Europe
1672,EMP1673,38,Male,Project Manager,Manufacturing,19,Remote,40,8,4,High,Depression/Anxiety/Burnout,Yes,No Change,2,Unsatisfied,2,Daily,Poor,Africa
1673,EMP1674,58,Male,Marketing,Retail,17,Onsite,50,10,4,High,No mental health conditions,No,No Change,2,Unsatisfied,1,Weekly,Average,South America
1674,EMP1675,37,Non-binary,Data Scientist,Manufacturing,30,Onsite,51,15,4,High,No mental health conditions,Yes,No Change,5,Satisfied,3,Daily,Poor,Asia
